GROUP	ALGO	K	C	LAMBDA	SPEARMAN_CORR	SPEARMAN_P	CONF_INT_LOWER	CONF_INT_UPPER
QB1		8	0.9	0.9	0.887542094	0.000609666	0.657575288	0.966214852
QB1		9	0.9	0.9	0.887542094	0.000609666	0.657575288	0.966214852
QB1		10	0.9	0.9	0.887542094	0.000609666	0.657575288	0.966214852
QB4		10	0.7	0.2	0.880952381	0.00385032	0.567890769	0.971346931
QB4		4	0.7	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		6	0.7	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		7	0.7	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		8	0.7	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		9	0.7	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		10	0.7	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		7	0.9	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		9	0.9	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		10	0.9	0.3	0.880952381	0.00385032	0.567890769	0.971346931
QB4		2	0.7	0.4	0.880952381	0.00385032	0.567890769	0.971346931
QB4		4	0.9	0.4	0.880952381	0.00385032	0.567890769	0.971346931
QB4		6	0.9	0.4	0.880952381	0.00385032	0.567890769	0.971346931
QB4		8	0.9	0.4	0.880952381	0.00385032	0.567890769	0.971346931
QB4		10	0.9	0.4	0.880952381	0.00385032	0.567890769	0.971346931
QA4		3	0.7	1	0.880952381	0.00385032	0.567890769	0.971346931
QA4		2	0.9	1	0.880952381	0.00385032	0.567890769	0.971346931
QA1		2	0.5	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		2	0.7	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		4	0.7	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		5	0.7	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		6	0.7	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		7	0.7	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		8	0.7	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		9	0.7	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		10	0.7	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		2	0.9	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		4	0.9	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		5	0.9	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		6	0.9	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		7	0.9	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		8	0.9	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		9	0.9	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		10	0.9	0.8	0.875383983	0.000905326	0.625487873	0.96239279
QA1		3	0.3	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		4	0.3	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		5	0.3	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		6	0.3	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		7	0.3	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		8	0.3	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		9	0.3	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		10	0.3	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		3	0.5	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		4	0.5	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		5	0.5	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		6	0.5	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		7	0.5	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		8	0.5	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		9	0.5	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QA1		10	0.5	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		5	0.7	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		6	0.7	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		7	0.7	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		8	0.7	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		9	0.7	0.9	0.875383983	0.000905326	0.625487873	0.96239279
QB1		10	0.7	0.9	0.875383983	0.000905326	0.625487873	0.96239279
