ALGO	QUESTION	K	C	L	W_MEAN_RHO	CONF_INT_GAP	RHO_LOWER	RHO_UPPER	ST_DEV	ST_ERR	Z_SCORE	COMB_P	RHO_RANGE
	ALL	3	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	4	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	5	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	6	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	7	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	8	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	9	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	10	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	0	0.5	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.5	0.1	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	2	0.5	0.1	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	3	0.5	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
	ALL	4	0.5	0.1	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	5	0.5	0.1	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	6	0.5	0.1	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	7	0.5	0.1	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	8	0.5	0.1	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	9	0.5	0.1	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	10	0.5	0.1	0.582905772	0.105649643	0.477256129	0.688555415	0.120530501	0.053902879	10.81400074	2.95E-27	0.357 - 0.729
	ALL	0	0.7	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.7	0.1	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	2	0.7	0.1	0.60217859	0.105296648	0.496881942	0.707475238	0.120127787	0.05372278	11.20899916	3.68E-29	0.405 - 0.778
	ALL	3	0.7	0.1	0.654863444	0.06780961	0.587053834	0.722673054	0.077360662	0.03459674	18.92847268	6.65E-80	0.567 - 0.762
	ALL	4	0.7	0.1	0.587138576	0.10777502	0.479363557	0.694913596	0.12295524	0.054987255	10.67772118	1.29E-26	0.357 - 0.729
	ALL	5	0.7	0.1	0.654863444	0.060571924	0.59429152	0.715435368	0.069103541	0.030904043	21.19021913	1.18E-99	0.567 - 0.729
	ALL	6	0.7	0.1	0.65063064	0.06297286	0.587657779	0.7136035	0.071842651	0.03212901	20.2505658	3.51E-91	0.567 - 0.738
	ALL	7	0.7	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	8	0.7	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	9	0.7	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	10	0.7	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	0	0.9	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.9	0.1	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	2	0.9	0.1	0.593712982	0.117941353	0.475771628	0.711654335	0.134553512	0.06017416	9.866576993	5.81E-23	0.357 - 0.778
	ALL	3	0.9	0.1	0.65063064	0.068846947	0.581783693	0.719477587	0.078544109	0.035125993	18.52276834	1.35E-76	0.567 - 0.762
	ALL	4	0.9	0.1	0.63100101	0.083135835	0.547865175	0.714136845	0.094845601	0.042416242	14.87640058	4.69E-50	0.476 - 0.738
	ALL	5	0.9	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	6	0.9	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	7	0.9	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	8	0.9	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	9	0.9	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	10	0.9	0.1	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	0	0.1	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.1	0.2	0.621900481	0.066462374	0.555438107	0.688362855	0.075823667	0.033909375	18.34007525	3.96E-75	0.548 - 0.729
	ALL	2	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	3	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	4	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	5	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	6	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	7	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	8	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	9	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	10	0.1	0.2	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	0	0.3	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.3	0.2	0.621900481	0.066462374	0.555438107	0.688362855	0.075823667	0.033909375	18.34007525	3.96E-75	0.548 - 0.729
	ALL	2	0.3	0.2	0.586146844	0.142511328	0.443635516	0.728658173	0.162584193	0.072709861	8.061449056	7.54E-16	0.286 - 0.778
	ALL	3	0.3	0.2	0.591371381	0.110437292	0.480934088	0.701808673	0.125992496	0.056345557	10.49543938	9.07E-26	0.357 - 0.729
	ALL	4	0.3	0.2	0.591371381	0.110437292	0.480934088	0.701808673	0.125992496	0.056345557	10.49543938	9.07E-26	0.357 - 0.729
	ALL	5	0.3	0.2	0.591371381	0.110437292	0.480934088	0.701808673	0.125992496	0.056345557	10.49543938	9.07E-26	0.357 - 0.729
	ALL	6	0.3	0.2	0.591371381	0.110437292	0.480934088	0.701808673	0.125992496	0.056345557	10.49543938	9.07E-26	0.357 - 0.729
	ALL	7	0.3	0.2	0.591371381	0.110437292	0.480934088	0.701808673	0.125992496	0.056345557	10.49543938	9.07E-26	0.357 - 0.729
	ALL	8	0.3	0.2	0.591371381	0.110437292	0.480934088	0.701808673	0.125992496	0.056345557	10.49543938	9.07E-26	0.357 - 0.729
	ALL	9	0.3	0.2	0.591371381	0.110437292	0.480934088	0.701808673	0.125992496	0.056345557	10.49543938	9.07E-26	0.357 - 0.729
	ALL	10	0.3	0.2	0.591371381	0.110437292	0.480934088	0.701808673	0.125992496	0.056345557	10.49543938	9.07E-26	0.357 - 0.729
	ALL	0	0.5	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.5	0.2	0.621900481	0.066462374	0.555438107	0.688362855	0.075823667	0.033909375	18.34007525	3.96E-75	0.548 - 0.729
	ALL	2	0.5	0.2	0.614877003	0.130767211	0.484109791	0.745644214	0.149185905	0.066717965	9.216063512	3.08E-20	0.357 - 0.778
	ALL	3	0.5	0.2	0.599836989	0.11721892	0.482618069	0.717055909	0.133729323	0.059805571	10.02978444	1.13E-23	0.357 - 0.738
	ALL	4	0.5	0.2	0.604069793	0.121256811	0.482812982	0.725326604	0.138335955	0.06186572	9.764208593	1.60E-22	0.357 - 0.762
	ALL	5	0.5	0.2	0.612535402	0.108377617	0.504157785	0.720913019	0.123642714	0.055294702	11.07765073	1.61E-28	0.405 - 0.762
	ALL	6	0.5	0.2	0.604069793	0.121256811	0.482812982	0.725326604	0.138335955	0.06186572	9.764208593	1.60E-22	0.357 - 0.762
	ALL	7	0.5	0.2	0.604069793	0.121256811	0.482812982	0.725326604	0.138335955	0.06186572	9.764208593	1.60E-22	0.357 - 0.762
	ALL	8	0.5	0.2	0.604069793	0.121256811	0.482812982	0.725326604	0.138335955	0.06186572	9.764208593	1.60E-22	0.357 - 0.762
	ALL	9	0.5	0.2	0.604069793	0.121256811	0.482812982	0.725326604	0.138335955	0.06186572	9.764208593	1.60E-22	0.357 - 0.762
	ALL	10	0.5	0.2	0.604069793	0.121256811	0.482812982	0.725326604	0.138335955	0.06186572	9.764208593	1.60E-22	0.357 - 0.762
	ALL	0	0.7	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.7	0.2	0.621900481	0.066462374	0.555438107	0.688362855	0.075823667	0.033909375	18.34007525	3.96E-75	0.548 - 0.729
	ALL	2	0.7	0.2	0.597945786	0.15755711	0.440388676	0.755502896	0.179749188	0.080386281	7.438405933	1.02E-13	0.262 - 0.778
	ALL	3	0.7	0.2	0.663329053	0.066233642	0.597095411	0.729562694	0.075562717	0.033792674	19.62937426	8.68E-86	0.567 - 0.738
	ALL	4	0.7	0.2	0.626768206	0.12227451	0.504493696	0.749042716	0.139496998	0.062384954	10.04678473	9.49E-24	0.381 - 0.81
	ALL	5	0.7	0.2	0.686027465	0.071032692	0.614994773	0.757060157	0.081037718	0.036241169	18.92950688	6.52E-80	0.584 - 0.81
	ALL	6	0.7	0.2	0.669096248	0.073000723	0.596095526	0.742096971	0.083282948	0.037245267	17.96459814	3.69E-72	0.584 - 0.81
	ALL	7	0.7	0.2	0.669096248	0.073000723	0.596095526	0.742096971	0.083282948	0.037245267	17.96459814	3.69E-72	0.584 - 0.81
	ALL	8	0.7	0.2	0.669096248	0.073000723	0.596095526	0.742096971	0.083282948	0.037245267	17.96459814	3.69E-72	0.584 - 0.81
